         506395 function calls (469475 primitive calls) in 384.973 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       40    0.002    0.000  603.656   15.091 C:\Users\patri\anaconda3\envs\MusicClips\Lib\multiprocessing\connection.py:246(recv)
    44/40    0.002    0.000  549.514   13.738 C:\Users\patri\anaconda3\envs\MusicClips\Lib\multiprocessing\connection.py:310(_recv_bytes)
        1    0.001    0.001  383.199  383.199 c:\Users\patri\Documents\GitHub\MusicClips\clipper.py:66(main)
    50/24    0.006    0.000  353.278   14.720 C:\Users\patri\anaconda3\envs\MusicClips\Lib\threading.py:1016(_bootstrap)
    50/24    0.001    0.000  353.274   14.720 C:\Users\patri\anaconda3\envs\MusicClips\Lib\threading.py:1056(_bootstrap_inner)
    50/24    0.000    0.000  353.223   14.718 C:\Users\patri\anaconda3\envs\MusicClips\Lib\threading.py:999(run)
        2    0.000    0.000  352.326  176.163 C:\Users\patri\anaconda3\envs\MusicClips\Lib\multiprocessing\pool.py:738(__exit__)
        2    0.000    0.000  352.320  176.160 C:\Users\patri\anaconda3\envs\MusicClips\Lib\multiprocessing\pool.py:654(terminate)
       14    0.000    0.000  352.268   25.162 C:\Users\patri\anaconda3\envs\MusicClips\Lib\multiprocessing\util.py:208(__call__)
        2    0.000    0.000  352.268  176.134 C:\Users\patri\anaconda3\envs\MusicClips\Lib\multiprocessing\pool.py:680(_terminate_pool)
        2    0.000    0.000  352.179  176.090 C:\Users\patri\anaconda3\envs\MusicClips\Lib\multiprocessing\pool.py:369(starmap)
        2    0.000    0.000  352.179  176.089 C:\Users\patri\anaconda3\envs\MusicClips\Lib\multiprocessing\pool.py:767(get)
        2    0.001    0.000  352.179  176.089 C:\Users\patri\anaconda3\envs\MusicClips\Lib\multiprocessing\pool.py:764(wait)
       44    0.002    0.000  206.350    4.690 C:\Users\patri\anaconda3\envs\MusicClips\Lib\multiprocessing\connection.py:1032(wait)
       65    0.002    0.000  206.345    3.175 {method 'cancel' of '_winapi.Overlapped' objects}
       50    0.000    0.000  199.403    3.988 C:\Users\patri\anaconda3\envs\MusicClips\Lib\threading.py:1115(join)
  362/260    0.001    0.000  199.402    0.767 {method 'acquire' of '_thread.lock' objects}
       54    0.000    0.000  199.402    3.693 C:\Users\patri\anaconda3\envs\MusicClips\Lib\threading.py:1153(_wait_for_tstate_lock)
        1    0.000    0.000  198.326  198.326 c:\Users\patri\Documents\GitHub\MusicClips\renderer.py:41(render_script_clips)
   106/19  352.159    3.322  198.283   10.436 {built-in method _winapi.WaitForMultipleObjects}
        2    0.000    0.000  198.282   99.141 C:\Users\patri\anaconda3\envs\MusicClips\Lib\multiprocessing\pool.py:527(_handle_tasks)
       21    0.001    0.000  155.721    7.415 C:\Users\patri\anaconda3\envs\MusicClips\Lib\multiprocessing\pool.py:500(_wait_for_updates)
        1    0.000    0.000  154.000  154.000 c:\Users\patri\Documents\GitHub\MusicClips\renderer.py:13(render_block_clips)
       27    0.000    0.000  153.928    5.701 C:\Users\patri\anaconda3\envs\MusicClips\Lib\multiprocessing\connection.py:253(poll)
       27    0.000    0.000  153.927    5.701 C:\Users\patri\anaconda3\envs\MusicClips\Lib\multiprocessing\connection.py:342(_poll)
        2    0.000    0.000  153.925   76.962 C:\Users\patri\anaconda3\envs\MusicClips\Lib\multiprocessing\pool.py:573(_handle_results)
        2    0.000    0.000  153.925   76.962 C:\Users\patri\anaconda3\envs\MusicClips\Lib\multiprocessing\pool.py:671(_help_stuff_finish)
        2    0.000    0.000  153.925   76.962 {method 'acquire' of '_multiprocessing.SemLock' objects}
       44    0.001    0.000  141.244    3.210 C:\Users\patri\anaconda3\envs\MusicClips\Lib\multiprocessing\connection.py:1010(_exhaustive_wait)
       52    0.000    0.000   53.492    1.029 C:\Users\patri\anaconda3\envs\MusicClips\Lib\threading.py:637(wait)
        1    0.001    0.001   27.579   27.579 c:\Users\patri\Documents\GitHub\MusicClips\renderer.py:177(render_final)
        1    0.000    0.000   24.880   24.880 <decorator-gen-55>:1(write_videofile)
    464/1    0.001    0.000   24.880   24.880 C:\Users\patri\anaconda3\envs\MusicClips\Lib\site-packages\moviepy\decorators.py:47(requires_duration)
        1    0.000    0.000   24.880   24.880 <decorator-gen-54>:1(write_videofile)
      2/1    0.000    0.000   24.880   24.880 C:\Users\patri\anaconda3\envs\MusicClips\Lib\site-packages\moviepy\decorators.py:108(use_clip_fps_by_default)
        1    0.000    0.000   24.879   24.879 <decorator-gen-53>:1(write_videofile)
        1    0.000    0.000   24.879   24.879 C:\Users\patri\anaconda3\envs\MusicClips\Lib\site-packages\moviepy\decorators.py:17(convert_masks_to_RGB)
        1    0.001    0.001   24.879   24.879 C:\Users\patri\anaconda3\envs\MusicClips\Lib\site-packages\moviepy\video\VideoClip.py:131(write_videofile)
        1    0.074    0.074   24.523   24.523 C:\Users\patri\anaconda3\envs\MusicClips\Lib\site-packages\moviepy\video\io\ffmpeg_writer.py:199(ffmpeg_write_video)
 6308/979    0.009    0.000   23.474    0.024 <decorator-gen-11>:1(get_frame)
17132/1034    0.059    0.000   23.474    0.023 C:\Users\patri\anaconda3\envs\MusicClips\Lib\site-packages\moviepy\decorators.py:78(wrapper)
 6308/979    0.009    0.000   23.455    0.024 C:\Users\patri\anaconda3\envs\MusicClips\Lib\site-packages\moviepy\Clip.py:77(get_frame)
      521    0.004    0.000   23.200    0.045 C:\Users\patri\anaconda3\envs\MusicClips\Lib\site-packages\moviepy\Clip.py:442(iter_frames)
      520    0.286    0.001   23.177    0.045 C:\Users\patri\anaconda3\envs\MusicClips\Lib\site-packages\moviepy\video\compositing\CompositeVideoClip.py:105(make_frame)
     2550    0.858    0.000   22.855    0.009 C:\Users\patri\anaconda3\envs\MusicClips\Lib\site-packages\moviepy\video\VideoClip.py:512(blit_on)
2652/2630   12.706    0.005   11.746    0.004 {method 'read' of '_io.BufferedReader' objects}
     2550    0.398    0.000   11.480    0.005 C:\Users\patri\anaconda3\envs\MusicClips\Lib\site-packages\moviepy\video\io\ffmpeg_reader.py:116(read_frame)
     2550    8.786    0.003   11.244    0.004 C:\Users\patri\anaconda3\envs\MusicClips\Lib\site-packages\moviepy\video\tools\drawing.py:9(blit)
     2550    0.005    0.000   10.696    0.004 C:\Users\patri\anaconda3\envs\MusicClips\Lib\site-packages\moviepy\video\io\VideoFileClip.py:113(<lambda>)
     2550    0.014    0.000   10.691    0.004 C:\Users\patri\anaconda3\envs\MusicClips\Lib\site-packages\moviepy\video\io\ffmpeg_reader.py:153(get_frame)
        3    4.972    1.657    4.972    1.657 {built-in method builtins.input}
        1    0.000    0.000    3.275    3.275 c:\Users\patri\Documents\GitHub\MusicClips\clipper.py:32(process_script)
        1    0.000    0.000    3.206    3.206 c:\Users\patri\Documents\GitHub\MusicClips\scripter.py:8(check_script)
        1    0.000    0.000    3.205    3.205 c:\Users\patri\Documents\GitHub\MusicClips\scripter.py:41(handle_missing_notes)
        1    0.000    0.000    3.202    3.202 c:\Users\patri\Documents\GitHub\MusicClips\scripter.py:61(get_transposition_input)
       11    0.001    0.000    2.601    0.236 C:\Users\patri\anaconda3\envs\MusicClips\Lib\site-packages\moviepy\video\io\VideoFileClip.py:78(__init__)
     5269    2.457    0.000    2.457    0.000 {method 'astype' of 'numpy.ndarray' objects}
        1    0.000    0.000    1.484    1.484 c:\Users\patri\Documents\GitHub\MusicClips\mid_to_json_converter.py:111(main)
       11    0.000    0.000    1.436    0.131 C:\Users\patri\anaconda3\envs\MusicClips\Lib\site-packages\moviepy\video\io\ffmpeg_reader.py:28(__init__)
       22    0.002    0.000    1.165    0.053 C:\Users\patri\anaconda3\envs\MusicClips\Lib\site-packages\moviepy\video\io\ffmpeg_reader.py:229(ffmpeg_parse_infos)
       11    0.000    0.000    1.165    0.106 C:\Users\patri\anaconda3\envs\MusicClips\Lib\site-packages\moviepy\audio\io\AudioFileClip.py:65(__init__)
       11    0.000    0.000    1.164    0.106 C:\Users\patri\anaconda3\envs\MusicClips\Lib\site-packages\moviepy\audio\io\readers.py:42(__init__)
       22    0.000    0.000    1.091    0.050 C:\Users\patri\anaconda3\envs\MusicClips\Lib\subprocess.py:1165(communicate)
       22    0.000    0.000    1.073    0.049 C:\Users\patri\anaconda3\envs\MusicClips\Lib\subprocess.py:1603(_communicate)
    44/22    0.000    0.000    1.015    0.046 C:\Users\patri\anaconda3\envs\MusicClips\Lib\subprocess.py:1598(_readerthread)
       50    0.000    0.000    0.931    0.019 C:\Users\patri\anaconda3\envs\MusicClips\Lib\multiprocessing\connection.py:202(send)
       60    0.000    0.000    0.931    0.016 C:\Users\patri\anaconda3\envs\MusicClips\Lib\multiprocessing\connection.py:284(_send_bytes)
  134/115    0.003    0.000    0.920    0.008 {method 'close' of '_io.BufferedReader' objects}
      278    0.721    0.003    0.721    0.003 {built-in method _winapi.WaitForSingleObject}
       46    0.000    0.000    0.664    0.014 C:\Users\patri\anaconda3\envs\MusicClips\Lib\subprocess.py:1259(wait)
